,ID,Street_cat,House №,Metro_cat,Time to metro,District_cat,Photos count
548,274349750,73,21,28,20.0,6,6
549,274754956,83,17,28,2.0,6,13
550,274882992,79,12,28,15.0,6,11
551,274749898,82,42,28,11.0,6,9
552,272689533,75,6,28,30.0,6,19
553,273912636,76,9,28,11.0,6,18
554,274891230,79,10,28,17.0,6,12
555,274841573,76,10,28,7.0,6,20
556,272282407,83,31,28,5.0,6,17
557,274342776,75,12,28,40.0,6,12
558,246086445,78,23,28,9.0,6,13
559,271905406,77,10,28,7.0,6,14
560,274186217,73,15,28,35.0,6,14
561,273854109,83,17,28,5.0,6,11
562,274563082,82,60,28,20.0,6,23
563,254734630,77,20,28,12.0,6,17
564,272338965,77,25,28,11.0,6,11
565,268231053,74,6,28,20.0,6,13
566,274921154,83,13,28,6.0,6,6
567,273429585,74,17,28,50.0,6,13
568,273734929,77,53,28,25.0,6,19
569,274080633,75,12,28,75.0,6,24
570,156310799,79,13,28,12.0,6,15
571,274805841,78,4,28,3.0,6,21
572,274519789,75,12,28,35.0,6,28
573,274900735,79,2,28,15.0,6,18
574,274757204,74,17,28,50.0,6,18
575,274100202,74,15,28,50.0,6,29
576,273779767,77,55,28,25.0,6,11
577,273755541,81,26,28,19.0,6,17
578,274970581,78,7,28,4.0,6,12
579,274312953,77,1,28,1.0,6,13
580,274720204,77,3,28,2.0,6,18
581,273217306,83,31,28,5.0,6,22
582,274362347,77,3,28,3.0,6,9
583,240846633,82,70,29,63.0,7,25
584,274825557,78,25,28,10.0,6,38
585,273114465,73,12,28,20.0,6,15
586,244086236,82,48,29,45.0,7,15
587,269293166,74,15,28,20.0,6,21
588,274716748,82,48,28,16.0,6,10
589,269883920,73,27,28,50.0,6,6
590,274976307,79,11,28,18.0,6,13
591,274101718,74,17,28,20.0,6,24
592,274504525,74,9,28,50.0,6,9
593,274794031,78,29,28,10.0,6,17
594,273777834,77,6,28,3.0,6,21
595,274837943,73,21,28,20.0,6,17
596,271520102,77,30,28,14.0,6,20
597,269979846,82,56,28,25.0,6,26
598,271701551,77,35,28,16.0,6,11
599,274841844,78,6,28,5.0,6,10
600,274334200,79,12,28,18.0,6,10
601,272536115,82,46,28,15.0,6,12
602,274236172,82,64,28,27.0,6,23
603,274807354,82,40,28,13.0,6,15
604,274823403,73,5,28,75.0,6,26
605,274611906,75,6,28,80.0,6,9
606,206432312,77,27,28,12.0,6,10
607,274808649,76,4,28,9.0,6,7
608,271058609,75,6,30,20.0,5,14
609,274660980,76,24,28,10.0,6,13
610,255308082,77,1,28,1.0,6,15
